GEOID,P01,NAME
20111,34732,Lyon County
20113,27268,McPherson County
20115,12888,Marion County
20117,11705,Marshall County
20119,4247,Meade County
20121,23466,Miami County
20123,7203,Mitchell County
20125,38816,Montgomery County
20127,6198,Morris County
20129,3480,Morton County
20131,10446,Nemaha County
20133,17035,Neosho County
20135,4033,Ness County
20137,5947,Norton County
20139,15248,Osage County
20141,4867,Osborne County
20143,5634,Ottawa County
20145,7555,Pawnee County
20147,6590,Phillips County
20149,16128,Pottawatomie County
20151,9702,Pratt County
20153,3404,Rawlins County
20155,62389,Reno County
20157,6482,Republic County
20159,10610,Rice County
20161,67139,Riley County
20163,6039,Rooks County
20165,3842,Rush County
20167,7835,Russell County
20169,49301,Saline County
20171,5289,Scott County
20173,403662,Sedgwick County
20175,18743,Seward County
20177,160976,Shawnee County
20179,3043,Sheridan County
20181,6926,Sherman County
20183,5078,Smith County
20185,5365,Stafford County
20187,2333,Stanton County
20189,5048,Stevens County
20191,25841,Sumner County
20193,8258,Thomas County
20195,3694,Trego County
20197,6603,Wabaunsee County
20199,1821,Wallace County
20201,7073,Washington County
20203,2758,Wichita County
20205,10289,Wilson County
20207,4116,Woodson County
20209,162026,Wyandotte County
21001,15360,Adair County
21003,14628,Allen County
21005,14571,Anderson County
21007,7902,Ballard County
21009,34001,Barren County
21011,9692,Bath County
21013,31506,Bell County
21015,57589,Boone County
21017,19236,Bourbon County
21019,51096,Boyd County
21021,25590,Boyle County
21023,7766,Bracken County
21025,15703,Breathitt County
21027,16312,Breckinridge County
21029,47567,Bullitt County
21031,11245,Butler County
21033,13232,Caldwell County
21035,30735,Calloway County
21037,83866,Campbell County
21039,5238,Carlisle County
21041,9292,Carroll County
21043,24340,Carter County
21045,14211,Casey County
21047,68941,Christian County
21049,29496,Clark County
21051,21746,Clay County
21053,9135,Clinton County
21055,9196,Crittenden County
21057,6784,Cumberland County
21059,87189,Daviess County
21061,10357,Edmonson County
21063,6455,Elliott County
21065,14614,Estill County
21067,225366,Fayette County
21069,12292,Fleming County
21071,43586,Floyd County
21073,44143,Franklin County
21075,8271,Fulton County
21077,5393,Gallatin County
21079,11579,Garrard County
21081,15737,Grant County
21083,33550,Graves County
21085,21050,Grayson County
21087,10371,Green County
21089,36796,Greenup County
21091,7864,Hancock County
21093,89240,Hardin County
21095,36574,Harlan County
21097,16248,Harrison County
21099,14890,Hart County
21101,43044,Henderson County
21103,12823,Henry County
21105,5566,Hickman County
21107,46126,Hopkins County
21109,11955,Jackson County
21111,665123,Jefferson County
21113,30508,Jessamine County
21115,23248,Johnson County
21117,142005,Kenton County
21119,17906,Knott County
21121,29676,Knox County
21123,11679,Larue County
21125,43438,Laurel County
21127,13998,Lawrence County
21129,7422,Lee County
21131,13642,Leslie County
21133,27000,Letcher County
21135,13029,Lewis County
21137,20096,Lincoln County
21139,9062,Livingston County
21141,24416,Logan County
21143,6624,Lyon County
21145,62879,McCracken County
21147,15603,McCreary County
21149,9628,McLean County
21151,57508,Madison County
21153,13077,Magoffin County
21155,16499,Marion County
21157,27205,Marshall County
21159,12526,Martin County
21161,16666,Mason County
21163,24170,Meade County
21165,5092,Menifee County
21167,19148,Mercer County
21169,8963,Metcalfe County
21171,11401,Monroe County
21173,19561,Montgomery County
21175,11648,Morgan County
21177,31318,Muhlenberg County
21179,29710,Nelson County
21181,6725,Nicholas County
21183,21105,Ohio County
21185,33263,Oldham County
21187,9035,Owen County
21189,5036,Owsley County
21191,12062,Pendleton County
21193,30283,Perry County
21195,72584,Pike County
21197,11686,Powell County
21199,49489,Pulaski County
21201,2124,Robertson County
21203,14803,Rockcastle County
21205,20353,Rowan County
21207,14716,Russell County
21209,23867,Scott County
21211,24824,Shelby County
21213,15145,Simpson County
21215,6801,Spencer County
21217,21146,Taylor County
21219,10940,Todd County
21221,10361,Trigg County
21223,6090,Trimble County
21225,16557,Union County
21227,77720,Warren County
21229,10441,Washington County
21231,17468,Wayne County
21233,13955,Webster County
21235,33326,Whitley County
21237,6503,Wolfe County
21239,19955,Woodford County
22001,55882,Acadia Parish
22003,21226,Allen Parish
22005,58214,Ascension Parish
22007,22753,Assumption Parish
22009,39159,Avoyelles Parish
22011,30083,Beauregard Parish
22013,16232,Bienville Parish
22015,86088,Bossier Parish
22017,248253,Caddo Parish
22019,168134,Calcasieu Parish
22021,9806,Caldwell Parish
22023,9260,Cameron Parish
22025,11065,Catahoula Parish
22027,17405,Claiborne Parish
22029,20828,Concordia Parish
22031,25668,De Soto Parish
22033,380105,East Baton Rouge Parish
22035,9709,East Carroll Parish
22037,19211,East Feliciana Parish
22039,33274,Evangeline Parish
22041,22387,Franklin Parish
22043,17526,Grant Parish
22045,68297,Iberia Parish
22047,31049,Iberville Parish
22049,15859,Jackson Parish
22051,448306,Jefferson Parish
22053,30722,Jefferson Davis Parish
22055,164762,Lafayette Parish
22057,85860,Lafourche Parish
22059,13662,La Salle Parish
22061,41745,Lincoln Parish
22063,70523,Livingston Parish
22065,12463,Madison Parish
22067,31938,Morehouse Parish
22069,37254,Natchitoches Parish
22071,496938,Orleans Parish
22073,142191,Ouachita Parish
22075,25575,Plaquemines Parish
22077,22540,Pointe Coupee Parish
22079,131556,Rapides Parish
22081,9526,Red River Parish
22083,20629,Richland Parish
22085,22646,Sabine Parish
22087,66631,St. Bernard Parish
22089,42437,St. Charles Parish
22091,9874,St. Helena Parish
22093,20879,St. James Parish
22095,39996,St. John the Baptist Parish
22097,80312,St. Landry Parish
22099,44097,St. Martin Parish
22101,58086,St. Mary Parish
22103,144500,St. Tammany Parish
22105,85709,Tangipahoa Parish
22107,7103,Tensas Parish
22109,96982,Terrebonne Parish
22111,20796,Union Parish
22113,50055,Vermilion Parish
22115,61961,Vernon Parish
22117,43185,Washington Parish
22119,41989,Webster Parish
22121,19419,West Baton Rouge Parish
22123,12093,West Carroll Parish
22125,12915,West Feliciana Parish
22127,16498,Winn Parish
23001,105259,Androscoggin County
23003,86936,Aroostook County
